id,Año,región,region_rec,Línea presupuestaria,Tipo de Entidad receptora,Tipo de institución,Nombre entidad receptora (ejecutora),id_instituciones,Ejecución (miles de $ de cada año),RH
1145,2012,Magallanes,13,Difusión Cartografía Digital a Escala Local Parque T. del Paine. (30127751-0),CENTRO I+D,Centro de Investigación Privado,Centro de Estudios del Cuaternario de Fuego-Patagonia y Antártica,70998,35000,si
1161,2012,Magallanes,13,"Difusión la Ruta del Hielo, Turismo Historia Glacial. (30127735-0)",CENTRO I+D,Centro de Investigación Privado,Centro de Estudios del Cuaternario de Fuego-Patagonia y Antártica,70998,11000,si
1192,2011,Arica y Parinacota,15,Equipamiento Recuperación Residuos Líquidos Industriales para Riego(30110579-0),UNIVERSIDAD,Institución de Educación superior,Universidad de Tarapacá,311,84846,si
1194,2012,Arica y Parinacota,15,Equipamiento Recuperación Residuos Líquidos Industriales para Riego(30110579-0),UNIVERSIDAD,Institución de Educación superior,Universidad de Tarapacá,311,35000,si
1208,2011,Arica y Parinacota,15,Equipamiento Unidad Tratamiento Móvil para Aguas Naturales IN-SITU(30110571-0),UNIVERSIDAD,Institución de Educación superior,Universidad de Tarapacá,311,0,si
1266,2012,Arica y Parinacota,15,Equipamiento Unidad Tratamiento Móvil para Aguas Naturales IN-SITU(30110571-0),UNIVERSIDAD,Institución de Educación superior,Universidad de Tarapacá,311,40510,si
1267,2011,Atacama,3,Estudio tratabilidad  aguas claras  tranque de relaves Pampa austral para diversificación  productiva Diego de Almagro.,CENTRO I+D,Centro de Investigación Privado,Centro de Investigacón Minera y Metalúrgica,71002,80000,si
1272,2012,Atacama,3,Estudio tratabilidad  aguas claras  tranque de relaves Pampa austral para diversificación  productiva Diego de Almagro.,CENTRO I+D,Centro de Investigación Privado,Centro de Investigacón Minera y Metalúrgica,71002,69769,si
1282,2014,Valparaíso,5,FEDEFRUTA - Uso Eficiente del Agua Zona Sur Región de Valparaíso (30351074)                                                                                                                                                                               ,CORPORACIÓN,Asociación Gremial / de Empresas,FEDEFRUTA,1250,150000,si
1285,2015,Valparaíso,5,FEDEFRUTA- TRANSFERENCIA DE GESTION  RECURSO HIDRICO COMITES AGUA POTABLE RURAL -30370224                                                                                                                                                                 ,CORPORACIÓN,Asociación Gremial / de Empresas,FEDEFRUTA,1250,3500,si
1343,2015,Valparaíso,5,FEDEFRUTA-TRANSFERENCIA CAPACIDADES PARA GESTION RECURSO HIDRICO PREDIAL - 30370343                                                                                                                                                                       ,CORPORACIÓN,Asociación Gremial / de Empresas,FEDEFRUTA,1250,3500,si
1346,2015,Valparaíso,5,FEDEFRUTA-TRANSFERENCIA GESTION RECURSO HIDRICO COMITES DE USUARIOS DE AGUA -30370334                                                                                                                                                                     ,CORPORACIÓN,Asociación Gremial / de Empresas,FEDEFRUTA,1250,3500,si
1353,2013,Arica y Parinacota,15,201 INIA-Transferencia Plataforma Zonif. Agrometerologica Cultivos Riego AyP.,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,34644,si
1368,2011,Arica y Parinacota,15,Fortalecimiento Capacidades Locales Gestión Recursos Hídricos.,CENTRO I+D,ONG / Fundación,Fundación Chile,509,54543,si
1369,2012,Arica y Parinacota,15,Fortalecimiento Capacidades Locales Gestión Recursos Hídricos.,CENTRO I+D,ONG / Fundación,Fundación Chile,509,54543,si
1395,2016,Coquimbo,4,FUNDACION CHILE - Análisis Reúso de Aguas Residuales Tratadas para uso Productivo (30404132-0).,CENTRO I+D,ONG / Fundación,Fundación Chile,509,41855,si
1397,2015,Coquimbo,4,FUNDACION CHILE - Análisis Reúso de Aguas Residuales Tratadas para uso Productivo (30404132-0).                                                                                                                                                           ,CENTRO I+D,ONG / Fundación,Fundación Chile,509,41855,si
1398,2014,Valparaíso,5,Fundación Chile - Diagnóstico Potencial de Reuso Aguas Residuales Tratadas V Región (30351025-0)                                                                                                                                                          ,CENTRO I+D,ONG / Fundación,Fundación Chile,509,147799,si
1400,2016,Arica y Parinacota,15,FUNDACIÓN CHILE- Transferencia Desarrollo Sistema Portabilizador de agua Tec Membranas Camarones                                 ,CENTRO I+D,ONG / Fundación,Fundación Chile,509,133705,si
1406,2014,Arica y Parinacota,15,FUNDACION CHILE- Transferencia Desarrollo Sistema Portabilizador de agua Tec Membranas Camarones                                                                                                                                                          ,CENTRO I+D,ONG / Fundación,Fundación Chile,509,58952,si
1421,2015,Arica y Parinacota,15,FUNDACION CHILE- Transferencia Desarrollo Sistema Portabilizador de agua Tec Membranas Camarones                                                                                                                                                          ,CENTRO I+D,ONG / Fundación,Fundación Chile,509,30969,si
1425,2014,Valparaíso,5,Fundación Chile-Transferencia Tecnología Nanofiltración con Energía Solar Isla de Pascua (30154172-0)                                                                                                                                                     ,CENTRO I+D,ONG / Fundación,Fundación Chile,509,120946,si
1427,2015,Bernardo O´higgins,6,Fundación CSIRO-Chile Research- Transferencia Plan de Gestión Integrada Cuenca Rapel (30427997-0)                                                                                                                                                         ,CENTRO I+D,ONG / Fundación,Fundación CSIRO Chile,70991,39365,si
1428,2016,Bernardo O´higgins,6,FUNDACIÓN CSIRO-CHILE RESEARCH- TRANSFERENCIAPLAN DE GESTIÓN INTEGRADA CUENCA RAPEL. (30427997-0),CENTRO I+D,Centro de Investigación Privado,Fundación CSIRO Chile,70991,59047,si
1429,2016,Bernardo O´higgins,6,Fundación Empresarial Comunidad Europea Chile-Agua atmosférica para riego con energías renovables (30477038-0),OTROS,ONG / Fundación,Fundación para el Desarrollo Frutícola,70992,126856,si
1433,2015,Bernardo O´higgins,6,Fundación para el Desarrollo Frutícola (FDF)-Transferencia Catálogo de Soluciones Tecnológicas Eficiencia Hídrica (30427999-0)                                                                                                                            ,CENTRO I+D,ONG / Fundación,Fundación para el Desarrollo Frutícola,70992,18011,si
1435,2016,Bernardo O´higgins,6,FUNDACIÓN PARA EL DESARROLLO FRUTÍCOLA -FDF-TRANSFERENCIA CATÁLOGO DE SOLUCIONES TECNOLÓGICAS EFICIENCIA HÍDRICA. (30427999-0),OTROS,ONG / Fundación,Fundación para el Desarrollo Frutícola,70992,54033,si
1443,2014,Valparaíso,5,Fundación Wageningen UR Chile-Transferencia Tecnológica Invernaderos Autosustentables Agua y Energía (30351034-0)                                                                                                                                         ,CORPORACIÓN,ONG / Fundación,Fundación Wageningen UR Chil,70993,149910,si
1462,2010,Maule,7,Implementación Sistema de Apoyo Toma de Decisiones Referentes a la Priorización de Areas Beneficiarias de Subsidios y para la Definición de Estrategias de Mitigación y Remediación de la Erosión Hídrica del Suelo Secano Interior de la Región 2010,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,16500,si
1465,2016,Coquimbo,4,INIA - Análisis Forraje Verde Hidropónico para Crianceros del Limarí (30404133-0).,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,49945,si
1473,2015,Coquimbo,4,INIA - Análisis Forraje Verde Hidropónico para Crianceros del Limarí (30404133-0).                                                                                                                                                                        ,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,49945,si
1477,2016,Coquimbo,4,INIA - Investigación Vigilancia Online de la Calidad del Agua (30403028-0).,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,96566,si
1483,2015,Coquimbo,4,INIA - Investigación Vigilancia Online de la Calidad del Agua (30403028-0).                                                                                                                                                                               ,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,48283,si
1484,2014,Arica y Parinacota,15,INIA - Programa Transferencia Sustentable para Agricultura de Zonas Aridas (BIP 30132365-0)                                                                                                                                                               ,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,67469,si
1488,2016,Aysén,12,INIA - Transferencia Estrategias forrajeras para períodos de sequía estival (30347123-0),AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,38577,si
1509,2014,Aysén,12,INIA - Transferencia Estrategias forrajeras para períodos de sequía estival (30347123-0)                                                                                                                                                                  ,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,32246,si
1518,2016,Coquimbo,4,INIA - Transferencia Tecnológica en Agronomía del Riego Frutales (30404122-0).,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,99938,si
1523,2015,Coquimbo,4,INIA - Transferencia Tecnológica en Agronomía del Riego Frutales (30404122-0).                                                                                                                                                                            ,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,49970,si
1525,2016,Coquimbo,4,INIA - Transferencia Tecnológica para la Optimización del Riego en Hortalizas (30404134-0).,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,91422,si
1526,2015,Coquimbo,4,INIA - Transferencia Tecnológica para la Optimización del Riego en Hortalizas (30404134-0).                                                                                                                                                               ,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,45711,si
1530,2014,Atacama,3,"INIA-Obtención de hortalizas baby, mediante sistemas productivos de bajo rendimiento hídrico (30337605)                                                                                                                                                   ",AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,26527,si
1546,2015,Atacama,3,"INIA-Obtención de hortalizas baby, mediante sistemas productivos de bajo rendimiento hídrico (30337605)                                                                                                                                                   ",AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,53056,si
